,PRIM_STA_C,SAMP_DATE,FINDING,system,chem,mcl,lat,long,delta_results,ARSENIC,FLUORIDE (F) (NATURAL-SOURCE),GROSS ALPHA,NITRATE (AS NO3),PERCHLORATE,TETRACHLOROETHYLENE,URANIUM (PCI/L),URANIUM MDA95,nitrate_reading,alpha_reading,as_reading,pce_reading,f_reading,perc_reading,u_(pci/l)_reading,u_mda95_reading
0,1500006-001,2012-01-06,50.0,1500006,NITRATE (AS NO3),45.0,35.532686,-119.280146,5.0,0,0,0,1,0,0,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,1500006-001,2012-02-03,3.65,1500006,GROSS ALPHA,15.0,35.532686,-119.280146,-11.35,0,0,1,0,0,0,0,0,-11.35,-11.35,-11.35,-11.35,-11.35,-11.35,-11.35,-11.35
2,1500050-002,2012-08-08,2.0,1500050,ARSENIC,10.0,35.10846,-118.379125,-8.0,1,0,0,0,0,0,0,0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
3,1500050-002,2012-08-08,0.5,1500050,TETRACHLOROETHYLENE,5.0,35.10846,-118.379125,-4.5,0,0,0,0,0,1,0,0,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5
4,1500050-002,2012-08-08,4.99,1500050,GROSS ALPHA,15.0,35.10846,-118.379125,-10.01,0,0,1,0,0,0,0,0,-10.01,-10.01,-10.01,-10.01,-10.01,-10.01,-10.01,-10.01
5,1500050-002,2013-07-09,19.0,1500050,NITRATE (AS NO3),45.0,35.10846,-118.379125,-26.0,0,0,0,1,0,0,0,0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0,-26.0
6,1500050-002,2013-10-09,1.3,1500050,FLUORIDE (F) (NATURAL-SOURCE),2.0,35.10846,-118.379125,-0.7,0,1,0,0,0,0,0,0,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7
7,1500050-002,2013-10-09,32.0,1500050,NITRATE (AS NO3),45.0,35.10846,-118.379125,-13.0,0,0,0,1,0,0,0,0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0,-13.0
8,1500050-002,2014-07-17,20.0,1500050,NITRATE (AS NO3),45.0,35.10846,-118.379125,-25.0,0,0,0,1,0,0,0,0,-25.0,-25.0,-25.0,-25.0,-25.0,-25.0,-25.0,-25.0
9,1500050-002,2015-05-12,31.0,1500050,NITRATE (AS NO3),45.0,35.10846,-118.379125,-14.0,0,0,0,1,0,0,0,0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0,-14.0
10,1500050-002,2015-07-21,0.43,1500050,FLUORIDE (F) (NATURAL-SOURCE),2.0,35.10846,-118.379125,-1.57,0,1,0,0,0,0,0,0,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57,-1.57
11,1500050-002,2015-07-21,2.0,1500050,ARSENIC,10.0,35.10846,-118.379125,-8.0,1,0,0,0,0,0,0,0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
12,1500050-002,2015-07-21,4.0,1500050,PERCHLORATE,6.0,35.10846,-118.379125,-2.0,0,0,0,0,1,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
13,1500050-002,2015-07-21,3.32,1500050,GROSS ALPHA,15.0,35.10846,-118.379125,-11.68,0,0,1,0,0,0,0,0,-11.68,-11.68,-11.68,-11.68,-11.68,-11.68,-11.68,-11.68
14,1500050-002,2016-02-18,4.0,1500050,PERCHLORATE,6.0,35.10846,-118.379125,-2.0,0,0,0,0,1,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
15,1500050-002,2016-02-18,4.53,1500050,GROSS ALPHA,15.0,35.10846,-118.379125,-10.469999999999999,0,0,1,0,0,0,0,0,-10.469999999999999,-10.469999999999999,-10.469999999999999,-10.469999999999999,-10.469999999999999,-10.469999999999999,-10.469999999999999,-10.469999999999999
16,1500050-002,2018-08-13,0.96,1500050,FLUORIDE (F) (NATURAL-SOURCE),2.0,35.10846,-118.379125,-1.04,0,1,0,0,0,0,0,0,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04
17,1500050-002,2018-08-13,2.0,1500050,ARSENIC,10.0,35.10846,-118.379125,-8.0,1,0,0,0,0,0,0,0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
18,1500050-002,2018-08-13,0.5,1500050,TETRACHLOROETHYLENE,5.0,35.10846,-118.379125,-4.5,0,0,0,0,0,1,0,0,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5
19,1500050-003,2012-05-09,2.1,1500050,ARSENIC,10.0,35.113845,-118.379082,-7.9,1,0,0,0,0,0,0,0,-7.9,-7.9,-7.9,-7.9,-7.9,-7.9,-7.9,-7.9
20,1500050-003,2012-05-09,0.5,1500050,TETRACHLOROETHYLENE,5.0,35.113845,-118.379082,-4.5,0,0,0,0,0,1,0,0,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5
21,1500050-003,2012-05-09,18.0,1500050,NITRATE (AS NO3),45.0,35.113845,-118.379082,-27.0,0,0,0,1,0,0,0,0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0
22,1500050-003,2012-06-07,2.0,1500050,ARSENIC,10.0,35.113845,-118.379082,-8.0,1,0,0,0,0,0,0,0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
23,1500050-003,2012-06-07,0.5,1500050,TETRACHLOROETHYLENE,5.0,35.113845,-118.379082,-4.5,0,0,0,0,0,1,0,0,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5
24,1500050-003,2012-06-07,6.26,1500050,GROSS ALPHA,15.0,35.113845,-118.379082,-8.74,0,0,1,0,0,0,0,0,-8.74,-8.74,-8.74,-8.74,-8.74,-8.74,-8.74,-8.74
25,1500050-003,2013-10-09,0.57,1500050,FLUORIDE (F) (NATURAL-SOURCE),2.0,35.113845,-118.379082,-1.4300000000000002,0,1,0,0,0,0,0,0,-1.4300000000000002,-1.4300000000000002,-1.4300000000000002,-1.4300000000000002,-1.4300000000000002,-1.4300000000000002,-1.4300000000000002,-1.4300000000000002
26,1500050-003,2013-10-09,18.0,1500050,NITRATE (AS NO3),45.0,35.113845,-118.379082,-27.0,0,0,0,1,0,0,0,0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0
27,1500050-003,2014-07-17,20.0,1500050,NITRATE (AS NO3),45.0,35.113845,-118.379082,-25.0,0,0,0,1,0,0,0,0,-25.0,-25.0,-25.0,-25.0,-25.0,-25.0,-25.0,-25.0
28,1500050-003,2015-05-12,20.0,1500050,NITRATE (AS NO3),45.0,35.113845,-118.379082,-25.0,0,0,0,1,0,0,0,0,-25.0,-25.0,-25.0,-25.0,-25.0,-25.0,-25.0,-25.0
29,1500050-003,2015-07-21,0.5,1500050,FLUORIDE (F) (NATURAL-SOURCE),2.0,35.113845,-118.379082,-1.5,0,1,0,0,0,0,0,0,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5
30,1500050-003,2015-07-21,2.0,1500050,ARSENIC,10.0,35.113845,-118.379082,-8.0,1,0,0,0,0,0,0,0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
31,1500050-003,2015-07-21,4.0,1500050,PERCHLORATE,6.0,35.113845,-118.379082,-2.0,0,0,0,0,1,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
32,1500050-003,2015-07-21,5.88,1500050,GROSS ALPHA,15.0,35.113845,-118.379082,-9.120000000000001,0,0,1,0,0,0,0,0,-9.120000000000001,-9.120000000000001,-9.120000000000001,-9.120000000000001,-9.120000000000001,-9.120000000000001,-9.120000000000001,-9.120000000000001
33,1500050-003,2016-02-18,4.0,1500050,PERCHLORATE,6.0,35.113845,-118.379082,-2.0,0,0,0,0,1,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
34,1500050-003,2016-02-18,5.03,1500050,GROSS ALPHA,15.0,35.113845,-118.379082,-9.969999999999999,0,0,1,0,0,0,0,0,-9.969999999999999,-9.969999999999999,-9.969999999999999,-9.969999999999999,-9.969999999999999,-9.969999999999999,-9.969999999999999,-9.969999999999999
35,1500050-003,2016-09-22,0.0,1500050,GROSS ALPHA,15.0,35.113845,-118.379082,-15.0,0,0,1,0,0,0,0,0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0
36,1500050-003,2016-10-04,9.57,1500050,GROSS ALPHA,15.0,35.113845,-118.379082,-5.43,0,0,1,0,0,0,0,0,-5.43,-5.43,-5.43,-5.43,-5.43,-5.43,-5.43,-5.43
37,1500050-003,2017-11-28,0.0,1500050,GROSS ALPHA,15.0,35.113845,-118.379082,-15.0,0,0,1,0,0,0,0,0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0
38,1500050-003,2018-08-13,0.28,1500050,FLUORIDE (F) (NATURAL-SOURCE),2.0,35.113845,-118.379082,-1.72,0,1,0,0,0,0,0,0,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72,-1.72
39,1500050-003,2018-08-13,2.0,1500050,ARSENIC,10.0,35.113845,-118.379082,-8.0,1,0,0,0,0,0,0,0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
40,1500050-003,2018-08-13,0.5,1500050,TETRACHLOROETHYLENE,5.0,35.113845,-118.379082,-4.5,0,0,0,0,0,1,0,0,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5
41,1500090-001,2012-12-31,7.4,1500090,NITRATE (AS NO3),45.0,35.601216,-119.209811,-37.6,0,0,0,1,0,0,0,0,-37.6,-37.6,-37.6,-37.6,-37.6,-37.6,-37.6,-37.6
42,1500090-001,2014-12-22,16.0,1500090,NITRATE (AS NO3),45.0,35.601216,-119.209811,-29.0,0,0,0,1,0,0,0,0,-29.0,-29.0,-29.0,-29.0,-29.0,-29.0,-29.0,-29.0
43,1500096-001,2012-09-18,34.0,1500096,URANIUM (PCI/L),20.0,35.266468,-119.108897,14.0,0,0,0,0,0,0,1,0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
44,1500096-001,2013-06-04,29.0,1500096,URANIUM (PCI/L),20.0,35.266468,-119.108897,9.0,0,0,0,0,0,0,1,0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
45,1500096-001,2013-06-04,35.0,1500096,NITRATE (AS NO3),45.0,35.266468,-119.108897,-10.0,0,0,0,1,0,0,0,0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
46,1500096-001,2013-09-17,25.0,1500096,URANIUM (PCI/L),20.0,35.266468,-119.108897,5.0,0,0,0,0,0,0,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
47,1500096-001,2013-09-17,30.0,1500096,NITRATE (AS NO3),45.0,35.266468,-119.108897,-15.0,0,0,0,1,0,0,0,0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0
48,1500096-001,2013-12-16,26.0,1500096,URANIUM (PCI/L),20.0,35.266468,-119.108897,6.0,0,0,0,0,0,0,1,0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
49,1500096-001,2013-12-16,29.0,1500096,NITRATE (AS NO3),45.0,35.266468,-119.108897,-16.0,0,0,0,1,0,0,0,0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0
50,1500096-001,2014-03-11,26.0,1500096,URANIUM (PCI/L),20.0,35.266468,-119.108897,6.0,0,0,0,0,0,0,1,0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
51,1500096-001,2014-03-11,0.5,1500096,TETRACHLOROETHYLENE,5.0,35.266468,-119.108897,-4.5,0,0,0,0,0,1,0,0,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5
52,1500096-001,2014-03-11,27.0,1500096,NITRATE (AS NO3),45.0,35.266468,-119.108897,-18.0,0,0,0,1,0,0,0,0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0
53,1500096-001,2014-03-11,4.0,1500096,PERCHLORATE,6.0,35.266468,-119.108897,-2.0,0,0,0,0,1,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
54,1500096-001,2014-06-02,22.0,1500096,URANIUM (PCI/L),20.0,35.266468,-119.108897,2.0,0,0,0,0,0,0,1,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
55,1500096-001,2014-06-02,26.0,1500096,NITRATE (AS NO3),45.0,35.266468,-119.108897,-19.0,0,0,0,1,0,0,0,0,-19.0,-19.0,-19.0,-19.0,-19.0,-19.0,-19.0,-19.0
56,1500096-001,2014-09-23,25.0,1500096,URANIUM (PCI/L),20.0,35.266468,-119.108897,5.0,0,0,0,0,0,0,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
57,1500096-001,2014-09-23,27.0,1500096,NITRATE (AS NO3),45.0,35.266468,-119.108897,-18.0,0,0,0,1,0,0,0,0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0
58,1500096-001,2014-12-09,24.0,1500096,URANIUM (PCI/L),20.0,35.266468,-119.108897,4.0,0,0,0,0,0,0,1,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
59,1500096-001,2014-12-09,26.0,1500096,NITRATE (AS NO3),45.0,35.266468,-119.108897,-19.0,0,0,0,1,0,0,0,0,-19.0,-19.0,-19.0,-19.0,-19.0,-19.0,-19.0,-19.0
60,1500096-001,2015-03-17,25.0,1500096,URANIUM (PCI/L),20.0,35.266468,-119.108897,5.0,0,0,0,0,0,0,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
61,1500096-001,2015-03-17,26.0,1500096,NITRATE (AS NO3),45.0,35.266468,-119.108897,-19.0,0,0,0,1,0,0,0,0,-19.0,-19.0,-19.0,-19.0,-19.0,-19.0,-19.0,-19.0
62,1500096-001,2015-06-22,24.0,1500096,URANIUM (PCI/L),20.0,35.266468,-119.108897,4.0,0,0,0,0,0,0,1,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
63,1500096-001,2015-06-22,27.0,1500096,NITRATE (AS NO3),45.0,35.266468,-119.108897,-18.0,0,0,0,1,0,0,0,0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0
64,1500096-001,2015-07-08,0.05,1500096,FLUORIDE (F) (NATURAL-SOURCE),2.0,35.266468,-119.108897,-1.95,0,1,0,0,0,0,0,0,-1.95,-1.95,-1.95,-1.95,-1.95,-1.95,-1.95,-1.95
65,1500096-001,2015-07-08,2.0,1500096,ARSENIC,10.0,35.266468,-119.108897,-8.0,1,0,0,0,0,0,0,0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
66,1500096-001,2015-07-08,27.0,1500096,NITRATE (AS NO3),45.0,35.266468,-119.108897,-18.0,0,0,0,1,0,0,0,0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0
67,1500096-001,2015-09-17,29.0,1500096,URANIUM (PCI/L),20.0,35.266468,-119.108897,9.0,0,0,0,0,0,0,1,0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
68,1500096-001,2015-10-15,29.6,1500096,GROSS ALPHA,15.0,35.266468,-119.108897,14.600000000000001,0,0,1,0,0,0,0,0,14.600000000000001,14.600000000000001,14.600000000000001,14.600000000000001,14.600000000000001,14.600000000000001,14.600000000000001,14.600000000000001
69,1500096-001,2015-12-15,25.0,1500096,URANIUM (PCI/L),20.0,35.266468,-119.108897,5.0,0,0,0,0,0,0,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
70,1500096-001,2016-03-15,29.0,1500096,URANIUM (PCI/L),20.0,35.266468,-119.108897,9.0,0,0,0,0,0,0,1,0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
71,1500096-001,2016-06-07,29.0,1500096,URANIUM (PCI/L),20.0,35.266468,-119.108897,9.0,0,0,0,0,0,0,1,0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
72,1500096-001,2016-09-16,31.0,1500096,URANIUM (PCI/L),20.0,35.266468,-119.108897,11.0,0,0,0,0,0,0,1,0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
73,1500096-001,2016-12-13,27.0,1500096,URANIUM (PCI/L),20.0,35.266468,-119.108897,7.0,0,0,0,0,0,0,1,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
74,1500096-001,2017-03-06,30.0,1500096,URANIUM (PCI/L),20.0,35.266468,-119.108897,10.0,0,0,0,0,0,0,1,0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
75,1500096-001,2017-06-20,26.0,1500096,URANIUM (PCI/L),20.0,35.266468,-119.108897,6.0,0,0,0,0,0,0,1,0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
76,1500096-001,2017-08-08,4.0,1500096,PERCHLORATE,6.0,35.266468,-119.108897,-2.0,0,0,0,0,1,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
77,1500096-001,2017-09-14,25.0,1500096,URANIUM (PCI/L),20.0,35.266468,-119.108897,5.0,0,0,0,0,0,0,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
78,1500096-001,2017-12-11,29.0,1500096,URANIUM (PCI/L),20.0,35.266468,-119.108897,9.0,0,0,0,0,0,0,1,0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
79,1500096-001,2018-03-13,29.0,1500096,URANIUM (PCI/L),20.0,35.266468,-119.108897,9.0,0,0,0,0,0,0,1,0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
80,1500096-001,2018-06-21,27.0,1500096,URANIUM (PCI/L),20.0,35.266468,-119.108897,7.0,0,0,0,0,0,0,1,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
81,1500096-001,2018-07-20,0.05,1500096,FLUORIDE (F) (NATURAL-SOURCE),2.0,35.266468,-119.108897,-1.95,0,1,0,0,0,0,0,0,-1.95,-1.95,-1.95,-1.95,-1.95,-1.95,-1.95,-1.95
82,1500096-001,2018-07-20,2.0,1500096,ARSENIC,10.0,35.266468,-119.108897,-8.0,1,0,0,0,0,0,0,0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
83,1500152-002,2012-12-24,0.44,1500152,NITRATE (AS NO3),45.0,35.374847,-119.468846,-44.56,0,0,0,1,0,0,0,0,-44.56,-44.56,-44.56,-44.56,-44.56,-44.56,-44.56,-44.56
84,1500152-002,2013-11-11,0.44,1500152,NITRATE (AS NO3),45.0,35.374847,-119.468846,-44.56,0,0,0,1,0,0,0,0,-44.56,-44.56,-44.56,-44.56,-44.56,-44.56,-44.56,-44.56
85,1500152-002,2014-04-07,0.16,1500152,FLUORIDE (F) (NATURAL-SOURCE),2.0,35.374847,-119.468846,-1.84,0,1,0,0,0,0,0,0,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84,-1.84
86,1500152-002,2014-04-07,8.7,1500152,ARSENIC,10.0,35.374847,-119.468846,-1.3000000000000007,1,0,0,0,0,0,0,0,-1.3000000000000007,-1.3000000000000007,-1.3000000000000007,-1.3000000000000007,-1.3000000000000007,-1.3000000000000007,-1.3000000000000007,-1.3000000000000007
87,1500152-002,2014-04-07,0.44,1500152,NITRATE (AS NO3),45.0,35.374847,-119.468846,-44.56,0,0,0,1,0,0,0,0,-44.56,-44.56,-44.56,-44.56,-44.56,-44.56,-44.56,-44.56
88,1500152-002,2014-04-07,4.0,1500152,PERCHLORATE,6.0,35.374847,-119.468846,-2.0,0,0,0,0,1,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
89,1500152-002,2014-05-19,0.13,1500152,FLUORIDE (F) (NATURAL-SOURCE),2.0,35.374847,-119.468846,-1.87,0,1,0,0,0,0,0,0,-1.87,-1.87,-1.87,-1.87,-1.87,-1.87,-1.87,-1.87
90,1500152-002,2014-05-19,7.7,1500152,ARSENIC,10.0,35.374847,-119.468846,-2.3,1,0,0,0,0,0,0,0,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3,-2.3
91,1500152-002,2014-05-19,0.44,1500152,NITRATE (AS NO3),45.0,35.374847,-119.468846,-44.56,0,0,0,1,0,0,0,0,-44.56,-44.56,-44.56,-44.56,-44.56,-44.56,-44.56,-44.56
92,1500152-002,2014-05-19,4.0,1500152,PERCHLORATE,6.0,35.374847,-119.468846,-2.0,0,0,0,0,1,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
93,1500152-002,2017-09-18,0.14,1500152,FLUORIDE (F) (NATURAL-SOURCE),2.0,35.374847,-119.468846,-1.8599999999999999,0,1,0,0,0,0,0,0,-1.8599999999999999,-1.8599999999999999,-1.8599999999999999,-1.8599999999999999,-1.8599999999999999,-1.8599999999999999,-1.8599999999999999,-1.8599999999999999
94,1500152-002,2017-09-18,8.0,1500152,ARSENIC,10.0,35.374847,-119.468846,-2.0,1,0,0,0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
95,1500152-002,2017-11-09,0.5,1500152,TETRACHLOROETHYLENE,5.0,35.374847,-119.468846,-4.5,0,0,0,0,0,1,0,0,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5
96,1500152-002,2018-05-14,4.0,1500152,PERCHLORATE,6.0,35.374847,-119.468846,-2.0,0,0,0,0,1,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
97,1500209-001,2012-10-01,0.0,1500209,NITRATE (AS NO3),45.0,35.724883,-118.552283,-45.0,0,0,0,1,0,0,0,0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0
98,1500209-001,2013-05-15,0.0,1500209,PERCHLORATE,6.0,35.724883,-118.552283,-6.0,0,0,0,0,1,0,0,0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
99,1500209-001,2013-08-01,0.0,1500209,NITRATE (AS NO3),45.0,35.724883,-118.552283,-45.0,0,0,0,1,0,0,0,0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0
100,1500209-001,2013-11-21,0.0,1500209,PERCHLORATE,6.0,35.724883,-118.552283,-6.0,0,0,0,0,1,0,0,0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
101,1500209-001,2014-05-01,4.0,1500209,PERCHLORATE,6.0,35.724883,-118.552283,-2.0,0,0,0,0,1,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
102,1500209-001,2014-08-04,0.44,1500209,NITRATE (AS NO3),45.0,35.724883,-118.552283,-44.56,0,0,0,1,0,0,0,0,-44.56,-44.56,-44.56,-44.56,-44.56,-44.56,-44.56,-44.56
103,1500209-001,2014-09-02,0.05,1500209,FLUORIDE (F) (NATURAL-SOURCE),2.0,35.724883,-118.552283,-1.95,0,1,0,0,0,0,0,0,-1.95,-1.95,-1.95,-1.95,-1.95,-1.95,-1.95,-1.95
104,1500209-001,2014-09-02,2.0,1500209,ARSENIC,10.0,35.724883,-118.552283,-8.0,1,0,0,0,0,0,0,0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
105,1500209-001,2014-09-02,0.75,1500209,NITRATE (AS NO3),45.0,35.724883,-118.552283,-44.25,0,0,0,1,0,0,0,0,-44.25,-44.25,-44.25,-44.25,-44.25,-44.25,-44.25,-44.25
106,1500209-001,2017-05-22,4.0,1500209,PERCHLORATE,6.0,35.724883,-118.552283,-2.0,0,0,0,0,1,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
107,1500209-001,2017-09-06,0.05,1500209,FLUORIDE (F) (NATURAL-SOURCE),2.0,35.724883,-118.552283,-1.95,0,1,0,0,0,0,0,0,-1.95,-1.95,-1.95,-1.95,-1.95,-1.95,-1.95,-1.95
108,1500209-001,2017-09-06,2.0,1500209,ARSENIC,10.0,35.724883,-118.552283,-8.0,1,0,0,0,0,0,0,0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
109,1500209-001,2017-11-06,0.5,1500209,TETRACHLOROETHYLENE,5.0,35.724883,-118.552283,-4.5,0,0,0,0,0,1,0,0,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5
110,1500209-002,2012-09-04,0.0,1500209,NITRATE (AS NO3),45.0,35.724924,-118.55222,-45.0,0,0,0,1,0,0,0,0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0
111,1500209-002,2013-05-15,0.0,1500209,FLUORIDE (F) (NATURAL-SOURCE),2.0,35.724924,-118.55222,-2.0,0,1,0,0,0,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
112,1500209-002,2013-05-15,0.0,1500209,ARSENIC,10.0,35.724924,-118.55222,-10.0,1,0,0,0,0,0,0,0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
113,1500209-002,2013-05-15,0.0,1500209,GROSS ALPHA,15.0,35.724924,-118.55222,-15.0,0,0,1,0,0,0,0,0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0
114,1500209-002,2013-05-15,0.0,1500209,NITRATE (AS NO3),45.0,35.724924,-118.55222,-45.0,0,0,0,1,0,0,0,0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0
115,1500209-002,2013-08-01,0.0,1500209,NITRATE (AS NO3),45.0,35.724924,-118.55222,-45.0,0,0,0,1,0,0,0,0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0
116,1500209-002,2014-08-04,0.72,1500209,NITRATE (AS NO3),45.0,35.724924,-118.55222,-44.28,0,0,0,1,0,0,0,0,-44.28,-44.28,-44.28,-44.28,-44.28,-44.28,-44.28,-44.28
117,1500209-002,2014-09-02,4.0,1500209,PERCHLORATE,6.0,35.724924,-118.55222,-2.0,0,0,0,0,1,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
118,1500209-002,2016-05-09,0.05,1500209,FLUORIDE (F) (NATURAL-SOURCE),2.0,35.724924,-118.55222,-1.95,0,1,0,0,0,0,0,0,-1.95,-1.95,-1.95,-1.95,-1.95,-1.95,-1.95,-1.95
119,1500209-002,2016-05-09,2.0,1500209,ARSENIC,10.0,35.724924,-118.55222,-8.0,1,0,0,0,0,0,0,0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0
120,1500209-002,2017-09-06,0.5,1500209,TETRACHLOROETHYLENE,5.0,35.724924,-118.55222,-4.5,0,0,0,0,0,1,0,0,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5,-4.5
121,1500209-002,2017-09-06,4.0,1500209,PERCHLORATE,6.0,35.724924,-118.55222,-2.0,0,0,0,0,1,0,0,0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
122,1500209-003,2012-05-01,0.0,1500209,GROSS ALPHA,15.0,35.724861,-118.552225,-15.0,0,0,1,0,0,0,0,0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0,-15.0
